AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,"ASSOCIATE DIRECTOR, CONSUMER EDUCATION & EXTERNAL AFFAIRS",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,ATTORNEY-ADVISOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF COMMUNICATIONS OFFICER AND ASSISTANT DIRECTOR PUBLIC AFFAIRS,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF OF STAFF,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF OF STAFF,Filled,SC,,,"Washington, DC",JAN,SINGELMANN,OT,,9/26/2021 12:00:00 AM,2/3/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF OF STAFF & SPECIAL ASST TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF TECHNOLOGIST AND SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF TECHNOLOGIST AND SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,CHIEF TECHNOLOGIST AND SENIOR ADVISOR TO THE DIRECTOR,Filled,SC,,,"Washington, DC",ERIE,MEYER,OT,,9/25/2022 12:00:00 AM,2/7/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,DEPUTY CHIEF OF STAFF,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,DEPUTY DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,DIRECTOR,Vacant,PAS,,II,"Washington, DC",,,EX,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,DIRECTOR,Filled,PAS,,II,"Washington, DC",ROHIT,CHOPRA,EX,,10/12/2021 12:00:00 AM,2/1/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,EXECUTIVE ASSISTANT TO THE CHIEF OF STAFF,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,EXECUTIVE ASSISTANT TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,EXECUTIVE SECRETARY AND SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,MANAGEMENT AND PROGRAM ANALYST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,MANAGEMENT AND PROGRAM ANALYST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,POLICY ASSOCIATE DIRECTOR EXTERNAL AFFAIRS,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,"POLICY ASSOCIATE DIRECTOR, CEE",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,"POLICY ASSOCIATE DIRECTOR, RESEARCH, MARKETS, & REGULATIONS",Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,PRINCIPAL POLICY DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,PUBLIC AFFAIRS SPECIALIST,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,PUBLIC AFFAIRS SPECIALIST,Filled,SC,,,"Washington, DC",ALYSA,JAMES,OT,,5/29/2024 12:00:00 AM,2/3/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR (LEGAL AND POLICY PLANNING),Filled,SC,11/17/2025 00:00:00,"$155,500","Washington, DC",JEFFREY,CLARK,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR (POLICY AND STRATEGIC PLANNING),Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR FOR CONGRESSIONAL AFFAIRS,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR FOR CONGRESSIONAL AFFAIRS,Filled,SC,,,"Washington, DC",ALLIE,NEILL,OT,,3/26/2023 12:00:00 AM,2/3/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR (COMMUNICATIONS),Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR (COMMUNICATIONS),Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR (COMMUNICATIONS),Filled,SC,,,"Washington, DC",ALLISON,PREISS,OT,,6/27/2022 12:00:00 AM,2/3/2025 12:00:00 AM
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SENIOR ADVISOR TO THE DIRECTOR (POLICY PLANNING AND PRIORITIZATION),Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SR ADV TO THE DIRECTOR FOR SUPERVISION & ENFORCEMENT,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER FINANCIAL PROTECTION BUREAU,OFFICE OF THE DIRECTOR,SR ADVISOR TO THE DIR FOR MARKETS & REGS,Vacant,SC,,,"Washington, DC",,,OT,,,
CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,"CHAIRMAN, CONSUMER PRODUCT SAFETY COMMISSION",Vacant,PAS,,III,"BETHESDA, MD",,,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,"CHAIRMAN, CONSUMER PRODUCT SAFETY COMMISSION",Filled,PAS,,III,"BETHESDA, MD",ALEXANDER,HOEHN-SARIC,EX,7.0,10/13/2021 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,CHIEF OF STAFF,Filled,SC,,15,"BETHESDA, MD",JANA,FONG-SWAMIDOSS,GS,,10/13/2021 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,SPECIAL ASSISTANT,Filled,SC,,15,"BETHESDA, MD",ANNA,LAITIN,GS,,11/2/2021 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",MICHELE,VITERISE,GS,,12/18/2022 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,COMMISSIONER,Filled,PAS,10/27/2026 00:00:00,IV,"BETHESDA, MD",PETER,FELDMAN,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,COMMISSIONER,Filled,PAS,10/27/2028 00:00:00,IV,"BETHESDA, MD",RICHARD,TRUMKA,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,COMMISSIONER,Filled,PAS,10/26/2025 00:00:00,IV,"BETHESDA, MD",DOUGLAS,DZIAK,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,COMMISSIONER,Filled,PAS,10/27/2025 00:00:00,IV,"BETHESDA, MD",MARY,BOYLE,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,COMMISSIONER,Filled,PAS,10/27/2027 00:00:00,IV,"BETHESDA, MD",ALEXANDER,HOEHN-SARIC,EX,7.0,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,"DIRECTOR, OFFICE OF LEGISLATIVE AFFAIRS",Filled,SC,,15,"BETHESDA, MD",ADAM,ALPERT,GS,,1/15/2023 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,"DIRECTOR, OFFICE OF LEGISLATIVE AFFAIRS",Filled,SC,,15,"BETHESDA, MD",JOHN,MITCHELL,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,EXECUTIVE ASSISTANT,Filled,SC,,12,"BETHESDA, MD",MICHELE,VITERISE,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,EXECUTIVE ASSISTANT,Filled,SC,,11,"BETHESDA, MD",JOHN,MITCHELL,GS,,1/29/2023 12:00:00 AM,1/23/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,EXECUTIVE ASSISTANT,Filled,SC,,11,"BETHESDA, MD",NOAH,VEHAFRIC,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,EXECUTIVE ASSISTANT,Filled,SC,,12,"BETHESDA, MD",ISABELLA,MAXEY,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,GENERAL COUNSEL,Filled,NA,,"$195,200","BETHESDA, MD",MATTHEW,CAMPBELL,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT,Filled,SC,,15,"BETHESDA, MD",ANNA,LAITIN,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT,Filled,SC,,15,"BETHESDA, MD",ADAM,ALPERT,GS,,1/24/2025 12:00:00 AM,1/31/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT,Filled,SC,,15,"BETHESDA, MD",DANA,SMULLEN,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT,Filled,SC,,15,"BETHESDA, MD",EVAGREN,CALDERA,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,14,"BETHESDA, MD",KAIWON,TRESVANT,GS,,4/22/2024 12:00:00 AM,4/23/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",KAIWON,TRESVANT,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",LEE,DUNN,GS,,11/15/2024 12:00:00 AM,3/14/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",THOMAS,FULLER,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",ROBIN,LIPP,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",JANA,FONG-SWAMIDOSS,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",ROBERT,DEMOSS,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMISSIONERS,SPECIAL ASSISTANT (LEGAL),Filled,SC,,15,"BETHESDA, MD",NICOLE,BRIGHTBILL,GS,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMUNICATIONS,SUPERVISORY PUBLIC AFFAIRS SPECIALIST,Filled,NA,,"$195,200","BETHESDA, MD",PAMELA,SPRINGS,ES,,3/6/2024 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMMUNICATIONS,SUPERVISORY PUBLIC AFFAIRS SPECIALIST,Filled,NA,,"$195,200","BETHESDA, MD",PAMELA,SPRINGS,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMPLIANCE,ASSISTANT EXECUTIVE DIRECTOR FOR COMPLIANCE &amp; FIELD OPS,Vacant,CA,,,"BETHESDA, MD",,,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMPLIANCE,ASSISTANT EXECUTIVE DIRECTOR FOR COMPLIANCE &amp; FIELD OPS,Filled,CA,,,"BETHESDA, MD",ROBERT,KAYE,ES,,12/4/2023 12:00:00 AM,2/18/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF COMPLIANCE,"DEPUTY DIRECTOR, OFFICE OF COMPLIANCE",Filled,CA,,"$225,700","BETHESDA, MD",JENNIFER,SULTAN,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,CHIEF FINANCIAL OFFICER,Vacant,CA,,,"BETHESDA, MD",,,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,CHIEF INFORMATION OFFICER,Filled,CA,,"$225,700","BETHESDA, MD",BRYAN,BURNETT,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,DEPUTY EXECUTIVE DIRECTOR FOR OPERATIONS SUPPORT,Filled,CA,,"$204,440","BETHESDA, MD",MAGARET,EVANS,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,DEPUTY EXECUTIVE DIRECTOR FOR OUTREACH,Vacant,CA,,,"BETHESDA, MD",,,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,DEPUTY EXECUTIVE DIRECTOR FOR SAFETY OPERATIONS,Filled,CA,,"$225,700","BETHESDA, MD",JERRY,RAY,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,Filled,NA,,"$195,200","BETHESDA, MD",AUSTIN,SCHLICK,ES,,3/6/2024 12:00:00 AM,1/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,Filled,NA,,"$195,200","BETHESDA, MD",AUSTIN,SCHLICK,ES,,1/24/2025 12:00:00 AM,2/21/2025 12:00:00 AM
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR,Filled,NA,,"$195,200","BETHESDA, MD",BRIEN,LORENZE,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF RISK REDUCTION,ASSISTANT EXECUTIVE DIRECTOR FOR RISK REDUCTION,Filled,CA,,"$225,700","BETHESDA, MD",DUANE,BONIFACE,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF RISK REDUCTION,ASSOCIATE EXECUTIVE DIRECTOR FOR HEALTH SCIENCES,Filled,CA,,"$204,822","ROCKVILLE, MD",MARY,KELLEHER,ES,,,
CONSUMER PRODUCT SAFETY COMMISSION,OFFICE OF RISK REDUCTION,ASSOCIATE EXECUTIVE DIRECTOR FOR LABORATORY SCIENCES,Filled,CA,,"$225,700","ROCKVILLE, MD",ANDREW,STADNIK,ES,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Vacant,XS,,,"Washington, DC",,,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Vacant,XS,,,"Washington, DC",,,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",ALVIN,WARREN,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",FAGAN,HARRIS,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",FLOR,ROMERO,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",LISETTE,NIEVES,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",LESLIE,BLUHM,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER,Filled,PAS,,,"Washington, DC",SHIRLEY,SAGAWA,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,BOARD OF DIRECTORS,BOARD MEMBER - CHAIR,Filled,PAS,,III,"Washington, DC",CATHERINE,MCLAUGHLIN,WC,5.0,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF AMERICORPS SENIORS,"DIRECTOR, AMERICORPS SENIORS",Filled,XS,,,"Washington, DC",ATALAYA,SERGI,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF AMERICORPS STATE AND NATIONAL,"DIRECTOR, AMERICORPS STATE AND NATIONAL",Filled,XS,,,"Washington, DC","SONALI ",NIJHAWAN,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF AMERICORPS VISTA,"DIRECTOR, AMERICORPS VISTA",Vacant,XS,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF COMMUNICATIONS AND MARKETING,CHIEF OF COMMUNICATIONS AND MARKETING,Filled,XS,,,"Washington, DC",TONYA,WILLIAMS,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF COMMUNICATIONS AND MARKETING,CHIEF OF COMMUNICATIONS AND MARKETING,Filled,XS,,,"Washington, DC",TONYA,WILLIAMS,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF GENERAL COUNSEL,GENERAL COUNSEL,Vacant,NA,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF GOVERNMENT RELATIONS,"DIRECTOR, GOVERNMENT RELATIONS",Filled,XS,,,"Washington, DC",TESS,MASON-ELDER,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF GOVERNMENT RELATIONS,SENIOR LEGISLATIVE ASSISTANT,Filled,XS,,,"Washington, DC",SHAHRYAR,BAIG,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF GOVERNMENT RELATIONS,SENIOR LEGISLATIVE ASSISTANT,Filled,XS,,,"Washington, DC",PRIYA,AMILINENI,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF STRATEGIC ENGAGEMENT,DEPUTY CHIEF OF STAFF FOR STRATEGIC ENGAGEMENT,Vacant,XS,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,ASSISTANT TO THE BOARD OF DIRECTORS,Vacant,XS,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,CHIEF EXECUTIVE OFFICER,Filled,PAS,,III,"Washington, DC",MICHAEL,SMITH II,EX,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,CHIEF OF STAFF,Filled,XS,,,"Washington, DC","JENNIFER ",MAUK,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,SENIOR ADVISOR FOR STRATEGIC PARTNERSHIPS,Filled,XS,,,"Washington, DC",ANNA,HARTGE,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,SENIOR ADVISOR FOR THE AMERICAN CLIMATE CORPS,Filled,XS,,,"Washington, DC",YASMEEN,SHAHEEN-MCCONNELL,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,SPECIAL ASSISTANT TO THE CEO,Filled,XS,,,"Washington, DC",DIEGO,ANDRADES,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF EXECUTIVE OFFICER,WHITE HOUSE LIAISON,Vacant,XS,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF OF PROGRAM OPERATIONS,CHIEF PROGRAM OFFICER,Vacant,XS,,,"Washington, DC",,,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE CHIEF OF PROGRAM OPERATIONS,"SENIOR ADVISOR FOR VETERANS, WOUNDED WARRIOR, AND MILITARY FAMILIES",Filled,XS,,,"Washington, DC",JOHN,LIRA,OT,,,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,OFFICE OF THE INSPECTOR GENERAL,INSPECTOR GENERAL,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
COUNCIL OF INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,COUNCIL OF INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,EXECUTIVE DIRECTOR,Filled,CA,,,"Washington, DC",ANDREW,CANNARSA,ES,,,
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,ATTORNEY (GENERAL COUNSEL),Filled,CA,,"$225,700","Washington, DC",SHEILA,STOKES,ES,,,
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,CHIEF INFORMATION OFFICER,Filled,CA,,"$222,006","Washington, DC",WILLIAM,KIRKENDALE,ES,,,
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,DIRECTOR,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,DIRECTOR,Filled,PAS,,IV,"Washington, DC",RICHARD,TISCHNER,EX,,2/11/2019 12:00:00 AM,2/10/2025 12:00:00 AM
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,CHAIRMAN,Vacant,PAS,,III,"Washington, DC",,,EX,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,CHAIRMAN,Filled,PAS,,III,"Washington, DC",JOYCE,CONNERY,EX,,1/21/2021 12:00:00 AM,1/31/2025 12:00:00 AM
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,EXECUTIVE DIRECTOR OF OPERATIONS,Filled,CA,,"$212,100","Washington, DC",MARY,BUHLER,ES,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,GENERAL COUNSEL,Filled,CA,,"$201,663","Washington, DC",KEVIN,LYSKOWSKI,ES,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,MEMBER,Filled,PAS,,III,"Washington, DC",PATRICIA,LEE,EX,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,MEMBER,Vacant,PAS,,III,"Washington, DC",,,EX,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,MEMBER,Vacant,PAS,,III,"Washington, DC",,,EX,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,SENIOR COUNSEL FOR NUCLEAR SAFETY ENGINEERING,Vacant,XS,,,"Washington, DC",,,SL,,,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,VICE CHAIRMAN,Filled,PAS,,III,"Washington, DC",THOMAS,SUMMERS,EX,,,
DELTA REGIONAL AUTHORITY,DELTA REGIONAL AUTHORITY,FEDERAL CO-CHAIRMAN,Filled,PAS,,III,"CLARKSDALE, MS",COREY,WIGGINS,EX,,,
